# GET [h], theta [deg], phi [deg]
225.40355,121.30367,133.18294
225.40445,121.34617,133.18945
225.40535,121.38867,133.19599
225.40625,121.43117,133.20257
225.40715,121.47368,133.20919
225.40805,121.51619,133.21584
225.40895,121.5587,133.22252
225.40987,121.6012,133.22924
225.41077,121.64372,133.23599
225.41167,121.68624,133.24277
225.41264,121.73205,133.25015
225.41354,121.77458,133.25701
225.41444,121.81711,133.26391
225.41534,121.85964,133.27084
225.41624,121.90219,133.27782
225.41716,122.02316,133.12377
225.41806,122.30143,132.64371
225.41896,122.5786,132.16118
225.41986,122.85462,131.67616
225.42084,123.15056,131.15099
225.42174,123.42411,130.66065
225.42264,123.69638,130.16769
225.42354,123.96736,129.67204
225.42444,124.23702,129.17369
225.42535,124.50531,128.67259
225.42625,124.77223,128.16871
225.42715,125.03768,127.66199
225.42805,125.30165,127.15239
225.42896,125.5641,126.63987
225.42993,125.84499,126.08463
225.43083,126.10415,125.56593
225.43173,126.36168,125.0442
225.43263,126.61753,124.5194
225.43355,126.87128,123.99099
225.43445,127.10889,123.43969
225.43535,127.34436,122.88517
225.43625,127.57764,122.32741
225.43715,127.80872,121.76643
225.43813,128.05502,121.15863
225.43903,128.28137,120.59084
225.43993,128.50533,120.01972
225.44083,128.72692,119.44528
225.44174,128.94605,118.86748
225.44264,129.16273,118.28635
225.44354,129.37685,117.70182
225.44444,129.58838,117.11391
225.44534,129.79731,116.52261
225.44624,130.00359,115.92791
225.44722,130.22264,115.28363
225.44812,130.42324,114.68185
225.44902,130.621,114.07664
225.44994,130.81588,113.468
225.45084,131.09905,112.90981
225.45174,131.41652,112.36851
225.45264,131.7323,111.82251
225.45354,132.04638,111.27171
225.45444,132.35863,110.71603
225.45541,132.69279,110.11203
225.45631,133.00107,109.54591
225.45723,133.30728,108.97458
225.45813,133.61142,108.39799
225.45903,133.91331,107.81603
225.45993,134.21296,107.22861
225.46083,134.51024,106.63562
225.46173,134.8051,106.03701
225.46265,135.0974,105.43264
225.46355,135.38713,104.82247
225.46451,135.6961,104.15873
225.46542,135.98013,103.5362
225.46632,136.26125,102.90757
225.46722,136.54468,102.27918
225.46812,136.83278,101.65375
225.46902,137.11793,101.02187
225.46992,137.40003,100.3835
225.47084,137.67897,99.73853
225.47174,137.95466,99.086882
225.4727,138.24778,98.377565
225.47362,138.51639,97.711837
225.47452,138.78144,97.039222
225.47542,139.0428,96.359652
225.47632,139.30037,95.673097
225.47722,139.55407,94.979478
225.47812,139.80381,94.278781
225.47903,140.04945,93.570953
225.47993,140.29088,92.855963
225.4809,140.54601,92.077953
225.48181,140.77836,91.348053
225.48271,141.00616,90.610953
225.48361,141.22968,89.882577
225.48451,141.4529,89.289472
225.48541,141.67308,88.69058
225.48631,141.89014,88.08587
225.48723,142.10401,87.47528
225.48813,142.31463,86.858835
225.48903,142.52189,86.2365
225.49,142.74129,85.559697
225.4909,142.94139,84.925084
225.4918,143.13792,84.284587
225.4927,143.3308,83.638191
225.4936,143.51997,82.98591
225.4945,143.70533,82.327758
225.49542,143.88682,81.663771
225.49632,144.06436,80.993985
225.49722,144.23787,80.318423
225.4982,144.42013,79.584506
225.4991,144.58504,78.897136
225.5,144.74567,78.204181
225.5009,144.69247,77.153056
225.5018,144.57461,76.015191
225.5027,144.44609,74.884194
225.50362,144.30703,73.760575
225.50452,144.15759,72.644818
225.50542,143.99785,71.537382
225.50632,143.82797,70.438698
225.5073,143.63387,69.265749
225.5082,143.44338,68.186492
225.5091,143.24322,67.117149
225.51,143.03352,66.058012
225.51091,142.81445,65.009398
225.51181,142.58619,63.971541
225.51271,142.34889,62.944706
225.51361,142.10271,61.929074
225.51451,141.84786,60.924814
225.51549,141.56387,59.856237
225.51639,141.2915,58.876105
225.51729,141.14514,57.911057
225.51819,141.13168,56.953372
225.5191,141.10866,55.997106
225.52,141.07606,55.042733
225.5209,141.03388,54.090715
225.5218,140.98211,53.141497
225.5227,140.92075,52.19552
225.5236,140.84985,51.253241
225.52458,140.76282,50.243107
225.52548,140.67216,49.309879
225.52638,140.57204,48.381652
225.5273,140.46251,47.458837
225.5282,140.34362,46.541866
225.5291,140.21545,45.63108
225.53,140.07807,44.726859
225.5309,139.93153,43.829581
225.5318,139.77593,42.939572
225.53278,139.59831,41.989624
225.53368,139.49034,41.138056
225.53458,139.68004,40.389251
225.53549,139.86186,39.634492
225.53639,140.03567,38.874052
225.5373,140.2014,38.108162
225.5382,140.35895,37.337125
225.5391,140.50827,36.561199
225.54,140.64927,35.780675
225.54091,140.78188,34.995898
225.54187,140.91523,34.146321
225.54277,141.03021,33.353712
225.54369,141.13663,32.557841
225.54459,141.23442,31.759097
225.54549,141.32355,30.957828
225.54639,141.40397,30.154443
225.54729,141.47566,29.349296
225.54819,141.53861,28.542784
225.5491,141.59277,27.735335
225.55006,141.64129,26.865151
225.55098,141.75765,25.98504
225.55188,141.87531,25.090029
225.55278,141.98208,24.191007
225.55368,142.07789,23.28856
225.55458,142.16271,22.383184
225.55548,142.23647,21.475507
225.5564,142.29916,20.566059
225.5573,142.35078,19.655427
225.5582,142.39129,18.744232
225.55917,142.42252,17.762967
225.56007,142.44002,16.852436
225.56097,142.44646,15.943186
225.56187,142.44188,15.035758
225.56277,142.42633,14.130785
225.56367,142.39986,13.228829
225.56459,142.36253,12.330505
225.56549,142.31443,11.436346
225.56639,142.25563,10.546907
225.56737,142.24596,9.5938732
225.56827,142.28163,8.7084398
225.56917,142.30672,7.8222767
225.57007,142.32122,6.935931
225.57097,142.32513,6.0499561
225.57187,142.31847,5.1649027
225.57278,142.30127,4.2813332
225.57368,142.27356,3.3997529
225.57458,142.23538,2.5207664
225.57549,142.1868,1.6448535
225.57646,142.1229,0.70558565
225.57736,142.0529,-0.16227288
225.57826,141.9727,-1.0254482
225.57916,141.88239,-1.8835072
225.58006,141.78206,-2.7359549
225.58098,141.67181,-3.5823381
225.58188,141.55175,-4.4222221
225.58278,141.422,-5.2551891
225.58368,141.30574,-5.9376116
225.58466,141.29106,-5.9563383
225.58556,141.27743,-5.9737157
225.58646,141.26379,-5.9910763
225.58736,141.25015,-6.0084313
