#GET [h], theta_SUN [deg], phi_SUN [deg], theta_MOON [deg], phi_MOON [deg], theta_EARTH [deg], phi_EARTH [deg] 
224.80319,121.59396,132.91595,8.4619858,-170.24655,96.068138,127.92818
224.8041,121.62195,132.90587,8.468112,-170.27803,96.095158,127.92162
224.805,121.64993,132.89579,8.4743857,-170.31082,96.122161,127.91503
224.80591,121.67793,132.88573,8.4805584,-170.34259,96.149191,127.90848
224.80687,121.70807,132.87489,8.4874974,-170.37941,96.178289,127.90139
224.80779,121.73609,132.86483,8.4935792,-170.41025,96.205327,127.89485
224.80869,121.76409,132.85478,8.4999616,-170.44367,96.232364,127.88829
224.80959,121.79212,132.84474,8.5063792,-170.47736,96.259429,127.88175
224.81049,121.82013,132.8347,8.5128023,-170.51107,96.286473,127.8752
224.81139,121.84817,132.82466,8.5192648,-170.54498,96.31354,127.86865
224.81229,121.87621,132.81462,8.5257551,-170.57904,96.340614,127.86212
224.8132,121.90425,132.80462,8.5321271,-170.61199,96.367691,127.85562
224.8141,121.9323,132.79458,8.5386608,-170.64633,96.394774,127.84909
224.81506,121.96252,132.78381,8.5458587,-170.68467,96.423963,127.84206
224.81598,121.99056,132.77378,8.5521552,-170.71674,96.451033,127.83556
224.81688,122.0175,132.76343,8.5588063,-170.74221,96.476948,127.82913
224.81778,121.99793,132.73795,8.566777,-170.38764,96.453766,127.82448
224.81868,121.97836,132.71252,8.5751081,-170.03404,96.430608,127.81986
224.81958,121.95876,132.68709,8.5837721,-169.68118,96.407427,127.81524
224.82048,121.93916,132.66169,8.5928016,-169.32934,96.384269,127.81064
224.8214,121.91953,132.63629,8.6018921,-168.97583,96.361079,127.80606
224.8223,121.89989,132.61091,8.6115941,-168.62577,96.337899,127.80145
224.8232,121.88024,132.58556,8.6216494,-168.27681,96.314742,127.79686
224.82417,121.85906,132.55826,8.6328419,-167.90194,96.289785,127.79191
224.82507,121.83939,132.53294,8.6436029,-167.55507,96.266626,127.78734
224.82597,121.81968,132.50763,8.654692,-167.20913,96.243445,127.78276
224.82687,121.79995,132.48233,8.6661118,-166.86428,96.220264,127.77819
224.82777,121.78023,132.45707,8.6778771,-166.52063,96.197105,127.77363
224.82867,121.76048,132.4318,8.6899587,-166.17801,96.173924,127.76907
224.82959,121.74072,132.40657,8.7021408,-165.83405,96.150747,127.76456
224.83049,121.72093,132.38134,8.7148803,-165.49374,96.127565,127.76001
224.83139,121.70115,132.35614,8.7279607,-165.1547,96.104405,127.75548
224.83237,121.67981,132.32901,8.7422713,-164.78947,96.079438,127.75062
224.83327,121.65999,132.30384,8.7560134,-164.45289,96.056263,127.74609
224.83417,121.66499,132.30226,8.7538294,-164.34555,96.060273,127.74934
224.83507,121.67982,132.31003,8.7452698,-164.32875,96.075042,127.75566
224.83597,121.69464,132.31781,8.7367228,-164.31206,96.089806,127.76199
224.83687,121.70947,132.32559,8.7281873,-164.29553,96.104571,127.76831
224.83778,121.72427,132.33336,8.7195534,-164.27777,96.119316,127.77465
224.83868,121.73911,132.34117,8.7110563,-164.26157,96.134092,127.781
224.83958,121.75393,132.34897,8.7025719,-164.24539,96.148852,127.78735
224.84048,121.76875,132.35677,8.6941052,-164.22937,96.163612,127.79369
224.84146,121.78469,132.36517,8.6848662,-164.21084,96.179487,127.80053
224.84236,121.7995,132.37299,8.6764296,-164.19507,96.194242,127.80689
224.84326,121.81431,132.38081,8.66801,-164.17944,96.208999,127.81325
224.84416,121.82914,132.38864,8.6596067,-164.16404,96.223769,127.81962
224.84506,121.84393,132.39647,8.651209,-164.14858,96.238506,127.82598
224.84598,121.85874,132.40432,8.6426035,-164.13082,96.253247,127.83238
224.84688,121.87354,132.41216,8.6342447,-164.11571,96.267999,127.83876
224.84778,121.88835,132.42001,8.6258956,-164.10076,96.282749,127.84514
224.84868,121.90315,132.42788,8.6175613,-164.08588,96.297494,127.85153
224.84966,121.91908,132.43635,8.6084849,-164.06866,96.313367,127.85842
224.85056,121.93431,132.44601,8.5972526,-164.06731,96.328819,127.86482
224.85146,121.95016,132.4583,8.5818046,-164.0853,96.3453,127.87124
224.85236,121.96599,132.47058,8.5663592,-164.10341,96.361757,127.87764
224.85327,121.98184,132.48288,8.5508272,-164.12061,96.378228,127.88408
224.85417,121.99768,132.49519,8.535418,-164.13929,96.3947,127.89052
224.85507,122.01351,132.50749,8.5200233,-164.15815,96.411159,127.89694
224.85597,122.02933,132.51982,8.5046438,-164.17725,96.427618,127.90338
224.85687,122.04514,132.53213,8.4892786,-164.19652,96.444064,127.9098
224.85777,122.06096,132.54446,8.4739272,-164.21614,96.460523,127.91624
224.85875,122.07801,132.55778,8.4573069,-164.2362,96.478253,127.92322
224.85965,122.0938,132.57012,8.4419828,-164.25615,96.494682,127.92966
224.86055,122.10962,132.58249,8.426685,-164.27654,96.511145,127.93612
224.86147,122.1254,132.59484,8.4111654,-164.29439,96.527551,127.9426
224.86237,122.14121,132.60723,8.3959011,-164.31525,96.54401,127.94907
